GeoFips,GeoName,LineCode,Description,2018
1001,"Autauga, AL",1,Personal income (thousands of dollars),2314018
1001,"Autauga, AL",2,Population (persons) 1/,55601
1001,"Autauga, AL",3,Per capita personal income (dollars) 2/,41618
1003,"Baldwin, AL",1,Personal income (thousands of dollars),9940939
1003,"Baldwin, AL",2,Population (persons) 1/,218022
1003,"Baldwin, AL",3,Per capita personal income (dollars) 2/,45596
1005,"Barbour, AL",1,Personal income (thousands of dollars),875795
1005,"Barbour, AL",2,Population (persons) 1/,24881
1005,"Barbour, AL",3,Per capita personal income (dollars) 2/,35199
1007,"Bibb, AL",1,Personal income (thousands of dollars),677683
1007,"Bibb, AL",2,Population (persons) 1/,22400
1007,"Bibb, AL",3,Per capita personal income (dollars) 2/,30254
1009,"Blount, AL",1,Personal income (thousands of dollars),2022984
1009,"Blount, AL",2,Population (persons) 1/,57840
1009,"Blount, AL",3,Per capita personal income (dollars) 2/,34976
1011,"Bullock, AL",1,Personal income (thousands of dollars),291939
1011,"Bullock, AL",2,Population (persons) 1/,10138
1011,"Bullock, AL",3,Per capita personal income (dollars) 2/,28797
1013,"Butler, AL",1,Personal income (thousands of dollars),717336
1013,"Butler, AL",2,Population (persons) 1/,19680
1013,"Butler, AL",3,Per capita personal income (dollars) 2/,36450
1015,"Calhoun, AL",1,Personal income (thousands of dollars),4241974
1015,"Calhoun, AL",2,Population (persons) 1/,114277
1015,"Calhoun, AL",3,Per capita personal income (dollars) 2/,37120
1017,"Chambers, AL",1,Personal income (thousands of dollars),1138173
1017,"Chambers, AL",2,Population (persons) 1/,33615
1017,"Chambers, AL",3,Per capita personal income (dollars) 2/,33859
1019,"Cherokee, AL",1,Personal income (thousands of dollars),924269
1019,"Cherokee, AL",2,Population (persons) 1/,26032
1019,"Cherokee, AL",3,Per capita personal income (dollars) 2/,35505
1021,"Chilton, AL",1,Personal income (thousands of dollars),1536453
1021,"Chilton, AL",2,Population (persons) 1/,44153
1021,"Chilton, AL",3,Per capita personal income (dollars) 2/,34798
1023,"Choctaw, AL",1,Personal income (thousands of dollars),504400
1023,"Choctaw, AL",2,Population (persons) 1/,12841
1023,"Choctaw, AL",3,Per capita personal income (dollars) 2/,39280
